sample_id,fapar
0,0.03160599857595713
1,0.7173845594894289
2,0.3201006758706668
3,0.018250801562000034
4,0.7936348060900008
5,0.1844484540196668
6,0.5062738979589989
7,0.8856286193233336
8,0.5361045983621421
9,0.7191011354200014
10,0.8135306599836654
11,0.7475634806733343
12,0.5285155779446653
13,0.13487695950003348
14,0.13043083292243338
15,0.039663521398052404
16,0.870972936772
17,0.7882006871699982
18,0.06760464976716667
19,0.15883518668516677
20,0.909807361847143
21,0.8485454294610008
22,0.6862150983466658
23,0.3882567996003329
24,0.00012037181848800004
25,0.5846354489408577
26,0.3979831472600001
27,4.1596254488e-05
28,4.1596254488e-05
29,0.039943425285105236
30,0.4234632558796666
31,0.7038829497499992
32,0.815127002819998
33,0.39652158172333396
34,0.7584475686866664
35,0.40277299613800066
36,0.8021334643599997
37,0.8606437950718583
38,0.535506045391999
39,0.6448197732214301
40,0.9546614633599966
41,0.8479577355039987
42,0.7017439745100001
43,0.8187887112399996
44,0.7594495864000026
45,0.8192222055919057
46,0.6340934480000001
47,0.5445039698454758
48,0.23812384706866627
49,0.7171849837333333
50,0.8454125340168575
51,0.9288674687964287
52,0.5954840319553335
53,0.9271439735883341
54,0.836685437153332
55,0.7625858732733326
56,0.20130789290383283
57,0.794877465859998
58,0.7926006364413808
59,0.9206059357126187
60,0.04098499774625235
61,0.9244508639613316
62,0.42092249120966657
63,0.40660126036100064
64,0.6713154987488569
65,0.8738150923633338
66,0.041575442997699955
67,0.21847915387166567
68,0.38311919532666794
69,4.3342921488e-05
70,0.025108597765333304
71,0.3966690662380947
72,0.9355099777066658
73,4.373733328799999e-05
74,0.439441155468762
75,0.7139919895133335
76,0.3481518377276714
77,0.41699486925118995
78,0.8227830133799983
79,0.5331623260816662
80,0.5459492409895236
81,3.8267333288e-05
82,0.0002187192513879999
83,0.892437902900666
84,0.7067315193026659
85,0.6178595693979997
86,0.9039828593633331
87,0.8881088602816677
88,0.5737518243309998
89,0.8098513361533328
90,0.9104717821416674
91,0.5247189566676654
92,0.8022317387399988
93,0.03163390510545423
94,0.8184902141100009
95,0.5482629895963336
96,0.757230793378333
97,0.7988524375683326
98,0.3795508325466669
99,0.8906161786566672
100,0.5890412350623345
101,0.7364697619553329
102,4.1596254488e-05
103,0.6603230196222865
104,0.5828234927420576
105,0.8215544735546664
106,0.36411170932617143
107,2.78e-05
108,0.7498540976776673
109,0.9231809000640006
110,0.7358978181333335
111,0.8248735664399975
112,0.37941252343333376
113,0.8294270859756673
114,0.8014735789743336
115,0.8153754301545708
116,0.2830228564383334
117,0.40314495224133323
118,0.7801594835266659
119,0.572462248993333
120,0.8630370796228563
121,0.3830858035501663
122,0.7049384496606668
123,3.9037333288e-05
124,0.25932161857333313
125,0.6797561999599996
126,0.90189759491
127,0.8942998490083331
128,0.8789817686283341
129,0.5421478477479998
130,0.3911065744366667
131,0.9322052341833337
132,0.7687895938599987
133,0.604785730819667
134,0.04130281911559524
135,0.7443837428333335
136,0.42479931143333566
137,0.5316213221999996
138,0.6524159842516688
139,0.7474930421499999
140,0.6013940096980954
141,0.5771522774026674
142,0.7725151048133334
143,0.04079420532996667
144,0.8842719405600005
145,0.6590102447933333
146,0.5741912947066679
147,0.04016797802693568
148,0.8583696028999982
149,0.3071572222056669
150,0.6064487089273335
151,0.7709682221883343
152,0.8146671670199981
153,0.23145512914685748
154,0.5802812503026666
155,0.5350235770747603
156,0.7568788405766673
157,0.631836167414
158,0.5720471155400007
159,0.650715881086191
160,0.04652625229889995
161,0.6339908639599996
162,0.03605537077335238
163,0.2039891205586667
164,0.00016284892120000007
165,0.8851974028464764
166,0.7364862266799995
167,0.8534658179666655
168,0.8152031471293336
169,0.8421353141473317
170,0.594677491326857
171,0.8262138327235239
172,0.23450345387866656
173,0.6442294232740001
174,0.5648917650090015
175,0.9148679823090476
176,0.7587889093533332
177,0.7370259142899986
178,0.8019854665076197
179,0.63966593154
180,0.2840211897539998
181,0.8620830101466653
182,0.04079372786571905
183,0.930026116959999
184,0.7634651139295235
185,0.850218247421525
186,0.8553863115599973
187,0.5768954206545235
188,0.3853651320400002
189,0.8304403320300016
190,0.2731973954166663
191,0.6212169110259519
